Text,Review-Activity,Season
"Don't Buy!: Beware. . .I have washed and greased the brand new cookie sheet five (5) times or more, and black still keeps appearing on paper towel that rubbed Crisco on pan. This is a chemical that is in the cookie sheet that I suspect couldn't be safe. T FAL will not refund you your money back. When asked, they said it was made in China, of course. They say they are no longer making cookie sheets. My 15-20 yr old Wearever Airbake was made in Wisconsin, and it was great. :-(",REVIEW,NOT APPLICABLE
Ice Skating  Sledding  Shopping,ACTIVITY,WINTER
Enjoy the changing colors of leaves   Weather  Know that Thanksgiving and Christmas is not too far,ACTIVITY,FALL
"Can't recommend: I have two of these (received as gifts) and they remain in the cupboard. Found them very difficult to use. They always curl up and slide, even when moistened on the back with water, and I finally had to resort to taping them down. Also needed tons more flour to keep things from sticking. Using a countertop was much easier despite the clean-up problem. If this product causes so much extra trouble, why buy it? I recently had the idea of taping them to my crafting table to make an easily cleaned work surface. At least they wouldn't be taking up space in my kitchen!",REVIEW,NOT APPLICABLE
"Do not buy unless you will connect it though the audio output: I recently purchased the car kit (as the Stiletto does not have an FM transmitter). The FM transmitter works, but not well. The signal it emits is not strong at all, and as a result, you can barely hear Siruis from my car stereo (irrespective of what channel you select). The problem is not acquiring the signal from the satellite to the Stiletto (that is very good); the problem is the car kit emitting the single to the car stereo. I assume, but have not yet tried, that connecting the car kit via the audio output will solve this problem, but if you intend to use the car kit without an audio output line, DO NOT WASTE YOUR MONEY. It will result in nothing more than frustration.",REVIEW,NOT APPLICABLE
"cook outs, bike riding, train travel",ACTIVITY,SUMMER
Not one bit funny!: I really don't get how this movie even has 3 stars because it was one of the worst movies I've seen. I kept skipping forward hoping it would get better but I couldn't even finish watching it. I like most of the actors but their roles were just stinky and Aniston just continues to churn out more of her.... whatever it is that she churns out and it is definitely not good. At least I only wasted 99 cents but I feel bad for people who actually went to the theater for this.,REVIEW,NOT APPLICABLE
"Snow shoeing, walks in the woods, bonfires",ACTIVITY,WINTER
"doing my family's and my own yardwork, grilling, and relaxing in the evening by the firepit.",ACTIVITY,SUMMER
Pumpkin picking  Thanksgiving,ACTIVITY,FALL
"IF NOT FOR THE COURAGE OF THE FEARLESS CREW...: The absolute low point (to date, that is), of the STAR TREK franchise, VOYAGER is nothing more than Gilligan's Island in space. Unfortunately, they forgot to bring along Ginger and Mary-Ann...",REVIEW,NOT APPLICABLE
"Camping, concerts, traveling",ACTIVITY,SUMMER
"Pumpkins, family, tome",ACTIVITY,FALL
Shopping   Cooking  Parties,ACTIVITY,FALL
"Very pleased!: I know it could be a placebo effect, but I swear these are so potent, I can feel them working! I appreciate that the ingredients are so clear and that they are food-based.",REVIEW,NOT APPLICABLE
Eating snowflakes   Snowball fight  Make snow angels,ACTIVITY,WINTER
